,word1,word2,prediction
69,appreciate,see,-0.4373546006771143
70,approach,avenue,-0.7793924437667927
71,approach,merit,-0.6566929284924732
72,approach,trench,-0.8373514877055594
73,approval,encouragement,-0.6835721207436122
74,approving,interaction,-0.8844906069237111
75,aquarium,coin,-0.8662261965937206
76,arch,brick,-0.5854967791731664
77,arch,roof,-0.5549013717283997
78,architecture,urban,-0.5975737818891065
79,area,space,-0.46263272897492413
80,argument,evidence,-0.4382919270405613
81,arm,bicycle,-0.7016605542445005
82,arm,television,-0.8245371605753375
83,arrange,discard,-0.6774339348041092
84,arrange,study,-0.8281768501670048
85,arrangement,blizzard,-0.9970045417030812
86,arrangement,room,-0.6890876360484552
87,art,craft,-0.4722547437526582
88,art,gem,-0.7344561701441887
89,art,museum,-0.3866167758759156
90,art,painting,-0.2650713802312531
91,article,cup,-0.937005005766716
92,article,girl,-0.8425161562479504
93,ash,bone,-0.7254115757229943
94,ash,coil,-0.8478069746611023
95,asphalt,crane,-0.7344977246377173
96,asphalt,water,-0.6412234660770761
97,assets,exclude,-0.6592385325938936
98,association,organization,-0.4053291101921961
99,association,realtor,-0.6602773138504003
100,asylum,dollar,-0.8716417152629928
101,asylum,shelter,-0.6249040719948216
102,athletics,racing,-0.6308489356585839
103,athletics,swimming,-0.5736459142400246
104,attempt,give,-0.5035628093417254
105,attempt,initiate,-0.5156608178972715
106,attitude,notice,-0.6859762691868154
107,attitude,study,-0.7432300731041863
108,attorney,lawyer,-0.0791031269610728
109,auto,bright,-0.8339499955320161
110,automobile,fabric,-0.8405620128716315
111,automobile,racing,-0.5869531243736732
112,autumn,foliage,-0.4340053301215555
113,autumn,hat,-0.741387901821355
114,autumn,sunshine,-0.43410972017822935
115,autumn,winter,-0.22013635996861913
116,award,citation,-0.7085826195708387
117,baby,treat,-0.6627906480660172
118,back,lumbar,-0.7754126893372781
119,back,shifting,-0.6749017943462257
120,bacon,bread,-0.30997489320660576
121,bacon,pepper,-0.3585534971209473
122,bacon,salad,-0.2950601849904001
123,bacon,tomato,-0.33440127309159806
124,bacon,wild,-0.6908621777400406
125,bag,cop,-0.809555065854952
126,bag,flag,-0.8006127255273713
127,bakery,cake,-0.4419636288996479
128,bakery,vehicle,-0.9179151767770687
129,balance,gauge,-0.7703277788921616
130,banana,salad,-0.4233711333650677
131,band,guitar,-0.42044059263912015
132,band,metal,-0.4695812235756792
133,band,play,-0.6572326410515815
134,band,uniform,-0.7693612116972983
135,band,vinyl,-0.6523536603399214
136,bank,smell,-0.8815831946580625
137,bankruptcy,enterprise,-0.7374116515186386
138,bar,diner,-0.4952105698828957
139,bar,ship,-0.8225545792560345
140,bar,stair,-0.7206726404465733
141,bar,sushi,-0.5646094274605102
142,barn,food,-0.7498361748730267
143,barrel,gallon,-0.5492268861039453
144,base,club,-0.7569384275094743
145,baseball,born,-0.8147597313713271
146,baseball,cactus,-0.8298916403256065
147,baseball,game,-0.4808033281695965
148,baseball,hockey,-0.3168210736397058
149,baseball,season,-0.5382283495423584
150,basket,dinner,-0.6679892614522756
151,basketball,lesson,-0.7576545423036953
152,basketball,squash,-0.6728551154864619
153,bat,bats,-0.21501579478955835
154,bath,bedroom,-0.32005816953970057
155,bath,floor,-0.45360523286696364
156,bath,hot,-0.5887876327893478
157,bath,sleep,-0.6375213055374092
158,bathroom,chamber,-0.8112673848609877
159,bay,curve,-0.8616243421795928
160,bay,harbour,-0.391581090272626
161,beach,cliff,-0.575859154551142
162,beach,pebble,-0.5632437828336474
163,bead,chess,-0.8556406467146964
164,bead,gold,-0.5390053340620027
165,bead,redhead,-0.8435972511669401
166,beam,column,-0.7209131033556847
167,beard,hair,-0.36512922583730645
168,beat,meter,-0.821839309887603
169,bed,candy,-0.7886829917218308
170,bed,floor,-0.4246704640741542
171,bed,furniture,-0.5224266005915982
172,bed,layer,-0.7879884945360494
173,bed,pillow,-0.37395415549779265
174,bed,relax,-0.5835757999329292
175,bed,sitting,-0.47592513328570885
176,bed,staircase,-0.6204202826724166
177,bedroom,canyon,-0.7933094577925096
178,bedroom,ceiling,-0.5088815370786823
179,bedroom,cell,-0.8637048929915809
180,bedroom,construction,-0.7679690349331298
181,bedroom,door,-0.5657321392526218
182,bedroom,downtown,-0.7012835971065181
183,bedroom,room,-0.3026992278116415
184,bedroom,stair,-0.6700311455976978
185,bedroom,staircase,-0.5127978733282113
186,beef,chicken,-0.20451503421701145
187,beef,lamb,-0.29234082122419935
188,beef,pepper,-0.44979256977730875
189,beef,potato,-0.36867705791604577
190,beer,patio,-0.6905170897129218
191,beer,wild,-0.7471938497900876
192,being,characters,-0.6374993766257033
193,believe,week,-0.6437372176139042
194,belly,black,-0.6363190148464998
195,belly,dance,-0.5730742341430537
196,belly,dark,-0.6691963550379487
197,belly,field,-0.9287088264335035
198,belly,stripe,-0.7557346126453687
199,bench,game,-0.7188009223883105
200,benefited,get,-0.7677619460960048
201,bent,double,-0.7041092474973731
202,bent,inclination,-0.6070523520746643
203,berlin,germany,-0.2617435349780328
204,berry,blossom,-0.5108997170896503
205,berry,bright,-0.7049137071510857
206,berry,dessert,-0.5797798333725303
207,berry,ivy,-0.6555774005605928
208,berry,raspberry,-0.28907892878256203
209,berry,seed,-0.6464181328093134
210,berry,sweet,-0.5604623578361279
211,bias,prejudice,-0.4060544151813297
212,bible,misty,-0.900626864305978
213,bicycle,green,-0.6873475382847857
214,bigger,large,-0.3981992163024014
215,bike,chopper,-0.5459890977363402
216,bikini,ivy,-0.7821326146150419
217,bin,cup,-0.8401121945541894
218,bird,cock,-0.7824076767756862
219,bird,dragonfly,-0.46384525245562647
220,bird,flamingo,-0.4864730689554263
221,bird,goose,-0.5004853123297918
222,bird,insect,-0.4479629753550375
223,bird,reptile,-0.49228843717735915
224,bird,shade,-0.6662814345239824
225,bird,solid,-0.8127673270421758
226,bishop,priest,-0.29546729273796324
227,bishop,radical,-0.8136482848580753
228,bishop,wine,-0.8746808175389195
229,bit,curb,-0.8002712050156359
230,bit,tool,-0.7302692099207959
231,bitter,taste,-0.45083132960530314
232,black,blue,-0.27893325117265166
233,black,bright,-0.5084878937183931
234,black,brown,-0.26919627873306684
235,black,cigarette,-0.7079322014240614
236,black,juvenile,-0.7728574358978415
237,black,skirt,-0.5305648936009715
238,black,white,-0.14154271384295491
239,blast,smashing,-0.48229187362365156
240,blaze,pig,-0.8124888887110195
241,blessing,patronage,-0.6635330222902195
242,blizzard,rash,-0.8385828583216739
243,block,hinder,-0.7823803338612665
244,blonde,haircut,-0.59792514911686
245,blonde,wig,-0.5463948785953598
246,bloom,flower,-0.3364243374141678
247,bloom,friend,-0.8933783640821437
248,bloom,plant,-0.5159152567490632
249,bloom,purple,-0.5193736832972979
250,blossom,bud,-0.4382376839688741
251,blossom,cherry,-0.41504885157766613
252,blossom,daisy,-0.47310982619417463
253,blossom,foliage,-0.4937407636736235
254,blossom,orange,-0.4898868083517396
255,blossom,petal,-0.3455809214687102
256,blossom,purple,-0.4774140571401372
257,blow,contact,-0.8777445164196193
258,blow,swat,-0.7055689078379652
259,blowing,smoking,-0.6206428319543582
260,blue,colour,-0.40489792644686995
261,blue,happy,-0.6863535606586054
262,blue,report,-0.8716730717612813
263,blue,shade,-0.4652696705281183
264,blue,skirt,-0.5405217714258056
265,blues,rhythm,-0.46175317832910623
266,blur,focus,-0.6144967993323268
267,blur,metro,-0.913286757018136
268,board,deal,-0.6827473265800326
269,boardwalk,park,-0.4715431063984695
270,boast,complain,-0.688770088188567
271,boat,negro,-0.8916322782668791
272,boat,shore,-0.3447551510851544
273,bold,forward,-0.7040988430934279
274,bold,leader,-0.8084076845650707
275,bone,skull,-0.4037421946349934
276,book,building,-0.7524002577103599
277,book,smoking,-0.8457021631637323
278,booklet,reference,-0.6934458971415205
279,boot,kick,-0.6685787435215198
280,boot,punch,-0.791404760758495
281,bootleg,produce,-0.8698550253644367
282,bootleg,whiskey,-0.6832411193952156
283,born,construction,-0.9233008403189037
284,born,mother,-0.4235876932130024
285,born,subway,-0.9329730003792926
286,bottle,wine,-0.3656578807389729
287,bound,line,-0.7566279607179835
288,bound,skirt,-0.7468719272349478
289,bowling,wheel,-0.788236843404284
290,boxer,stair,-0.9357851689249481
291,boxing,hit,-0.7874740233341992
292,boy,hand,-0.5774950652530706
293,boy,live,-0.7024789749320735
294,bracelet,jewelry,-0.25536329641375244
295,bracelet,mountain,-0.8887971722877924
296,brain,head,-0.5883262091663577
297,brake,click,-0.8711303346344816
298,branch,tea,-0.8000778809484754
299,brass,executive,-0.8893655072544278
300,brazil,nut,-0.7002370716588175
301,brazil,triple,-0.8639384174757848
302,bread,bun,-0.44834356127812336
303,bread,cooking,-0.41017952865459695
304,bread,cover,-0.8024340690719677
305,bread,dessert,-0.36547000222400317
306,bread,egg,-0.3972254524684863
307,bread,medicine,-0.7954927628985287
308,break,glittering,-0.8431418361979177
309,break,scattered,-0.7479390668312773
310,breakfast,diner,-0.4277917446044005
311,breakfast,evening,-0.45966786029286
312,breakfast,lunch,-0.22076134085081356
313,breakfast,makeup,-0.8475231479004124
314,breakfast,morning,-0.42093659267788475
315,breakfast,people,-0.7245294532200145
316,breakfast,relax,-0.5447847109162098
317,brick,cement,-0.40448307908166836
318,brick,construction,-0.5358347009439033
319,brick,skyscraper,-0.6265402943771341
320,bride,photographer,-0.6080218682762704
321,bright,dark,-0.3635988757057219
322,bright,fruit,-0.6347039056020827
323,bright,mist,-0.655890997086575
324,bright,raspberry,-0.6620830650439367
325,bright,shade,-0.4261220966826802
326,bright,sky,-0.39036211829908696
327,bring,presenting,-0.6354095801533475
328,bring,return,-0.528877053559778
329,broadcast,packet,-0.6906838613659863
330,bronze,sculpture,-0.40422415571877657
331,bronze,suspicion,-0.989585801814806
332,brown,green,-0.3531500774046775
333,brown,hawk,-0.7153190610369766
334,brown,purple,-0.3382484165065037
335,brown,white,-0.28303913594654284
336,brussels,sweden,-0.5904395786865215
337,bucket,water,-0.5344615726860275
338,bud,flower,-0.49648526409897686
339,bud,ivy,-0.6219666352988737
340,budget,fund,-0.4979569005887008
341,budget,scale,-0.7196146969018522
342,bug,insect,-0.5157770196203657
343,building,cafe,-0.7157749438660304
344,building,construction,-0.32371720206299515
345,building,downtown,-0.49023738475893586
346,building,floor,-0.4708408631923765
347,building,ministry,-0.6770757535272776
348,building,tall,-0.6943696297556929
349,building,zombie,-0.8536131748939713
350,burger,cooking,-0.5940295436160696
351,burger,dessert,-0.49743820470384625
352,burger,salad,-0.33463910300896116
353,burger,soup,-0.40726766978223683
354,burn,fire,-0.4308647555800188
355,burn,ripple,-0.7971298970672723
356,bus,rail,-0.4644439867996404
357,business,railway,-0.7499520692301871
358,butter,stick,-0.5089372216959782
359,butterfly,caterpillar,-0.5413432736840385
360,butterfly,dragonfly,-0.2778416679146757
361,butterfly,glittering,-0.6805263079923095
362,button,sticker,-0.723131608752543
363,cafe,child,-0.8424214466878212
364,cafe,coffee,-0.3481905543888202
365,cafe,dinner,-0.4914299684451571
366,cafe,donut,-0.6159674973447985
367,cafe,lunch,-0.4346340228114509
368,cafe,pub,-0.4015678183056356
369,cafe,reflection,-0.8175585740908704
370,cafe,relax,-0.606926579190517
371,cafe,shop,-0.3963724662862206
372,cafe,spiral,-0.901615235701224
373,cake,christmas,-0.48594034198654557
374,call,meeting,-0.6210885768283751
375,call,statement,-0.6362388343421506
376,call,telephone,-0.4164509371401376
377,camel,desert,-0.5187097314500713
378,camp,camp,0.0
379,campaign,conspiracy,-0.6814138015361426
380,can,sketch,-0.8026155659800206
381,candidate,republic,-0.8215567030371452
382,canine,dog,-0.26506814524213307
383,canyon,landscape,-0.6163384822454612
384,canyon,river,-0.39516006570800266
385,car,insurance,-0.4373418672738766
386,car,pig,-0.79078989636992
387,car,skull,-0.7990524837715071
388,card,playing,-0.7186019671123267
389,card,see,-0.7403515406498387
390,carrier,carrier,0.0
391,carrier,traveler,-0.7067234479663539
392,carrier,vehicle,-0.5816144966099257
393,carrot,memorial,-0.9259054561905011
394,carrot,salad,-0.30984749982588855
395,cart,wagon,-0.6381539799353926
396,cartoon,wit,-0.7801163132186466
397,case,clients,-0.6971858335555963
398,cast,cast,0.0
399,cast,shoot,-0.7163262305100777
400,castle,patio,-0.7265455858332569
401,castle,ruin,-0.6072903030389731
402,cat,garden,-0.7088974557311258
403,catch,catching,-0.17799462509772712
404,catch,hooks,-0.6225638807024125
405,catching,perceive,-0.7771537338360541
406,catching,playing,-0.6055122022217877
407,category,flavor,-0.8527982979572992
408,catering,loan,-0.8414382380005345
409,caterpillar,paint,-0.8588832224529191
410,cathedral,step,-0.8821051678700641
411,cattle,goat,-0.4280642358569705
412,cattle,web,-0.9640680718839206
413,cautious,film,-0.8963185906144148
414,ceiling,marble,-0.43752587119727304
415,ceiling,mug,-0.8317717312870232
416,ceiling,room,-0.42634306179406845
417,ceiling,staircase,-0.3652614971692216
418,ceiling,wall,-0.307182598860939
419,cell,membrane,-0.5052175890558428
420,cemetery,grave,-0.3583224016153227
421,cemetery,memorial,-0.3338209135261687
422,center,center,0.0
423,center,refer,-0.8045028096496113
424,century,period,-0.5201739975880506
425,century,temperature,-0.848452462132467
426,ceramic,floor,-0.6314087764304367
427,chance,fortune,-0.5261101546056817
428,chance,opportunity,-0.29872607867193823
429,chance,ring,-0.7436668397268836
430,change,laundering,-0.8860502855482761
431,change,transforming,-0.6413014984754285
432,change,yielding,-0.8114322682928339
433,channel,sound,-0.6451499334717317
434,chaos,death,-0.5838584887075493
435,chapel,porch,-0.6006388257552642
436,chapel,ruin,-0.7825642049770348
437,charcoal,fuel,-0.6694506344096256
438,charge,damage,-0.6239199352886291
439,charge,sentence,-0.6562885788713935
440,checked,checked,0.0
441,cheer,musician,-0.8674611065707283
442,cheese,food,-0.4620173336180684
443,cheetah,flame,-0.830886515696473
444,chemical,intermediate,-0.6804340511243121
445,chemistry,patient,-0.7863924559255154
446,cherry,fruit,-0.3645541097213306
447,cherry,grape,-0.40719848987235363
448,cherry,lamb,-0.690404798562885
449,cherry,meat,-0.6891552941394326
450,cherry,orange,-0.40098301421395344
451,cherry,raspberry,-0.2979260293443906
452,chess,family,-0.8447381084693711
453,chess,toy,-0.7198426409481606
454,chicken,lamb,-0.2967795210318538
455,chicken,poultry,-0.3526687746141026
456,chief,guru,-0.6627718369892481
457,child,lad,-0.7076620710034593
458,child,street,-0.7477434473067923
459,chile,plate,-0.7797816010953551
460,chocolate,rock,-0.7669204865251138
461,choice,option,-0.3311928152223006
462,chopper,poppy,-0.8147236869411708
463,chord,play,-0.7480189007286768
464,christmas,valentine,-0.250104660655895
465,church,porch,-0.647119499933994
466,church,temple,-0.47658027165538464
467,circle,oval,-0.5168768780729446
468,circle,sport,-0.8068827451332812
469,city,round,-0.7445544797776757
470,city,ruin,-0.680684151512432
471,city,sidewalk,-0.6197990289759472
472,city,square,-0.5967066257854671
473,city,urban,-0.3806064647550106
474,class,sex,-0.8124688225940381
475,cliff,coast,-0.5616434479516981
476,cliff,harbour,-0.6238446700224121
477,cliff,waterfall,-0.5225473597460759
478,clinic,session,-0.6588638250263927
479,clock,timer,-0.3707754984688906
480,close,short,-0.48992017541975486
481,closed,closed,0.0
482,closed,state,-0.6708102719118602
483,closed,up,-0.548625822158167
484,closing,closing,0.0
485,closing,finale,-0.7160649117390854
486,clothes,short,-0.6834600544236458
487,cloud,energy,-0.6915067387999745
488,club,hockey,-0.5437609379300221
489,club,shirt,-0.6415936026824942
490,clubhouse,pop,-0.8824374278427007
491,clue,parish,-0.898127547738337
492,coast,scenery,-0.5281369592057717
493,coast,sunk,-0.6067078102180998
494,coast,zebra,-0.8537540909959346
495,coat,resurfacing,-0.8960375012573405
496,coat,roof,-0.6701963923529456
497,cock,penis,-0.3338151030883659
498,cocktail,garage,-0.82077160440765
499,cocktail,restaurant,-0.5640594445974767
500,coffee,meeting,-0.7173608668165323
501,coffee,tea,-0.25403895923420106
502,coin,gold,-0.4073161005712378
503,coin,silver,-0.41940363812806236
504,coin,ticket,-0.7011780939995831
505,cold,mist,-0.5323531187162822
506,cold,rain,-0.39602678410730585
507,cold,silver,-0.7783175872503938
508,cold,sunny,-0.46216390550195374
509,cold,sunshine,-0.48477645464782504
510,cold,water,-0.42312752448175217
511,cold,weather,-0.41050404650986116
512,cold,winter,-0.3439448050652243
513,coldness,cool,-0.7919835847649096
514,collage,exhibition,-0.5899728285079346
515,collage,paint,-0.5604651762911231
516,collage,sculpture,-0.483879950426081
517,collage,stream,-0.8709091414646134
518,collapse,shock,-0.5612140032715416
519,collar,tiger,-0.7762774072696771
520,collect,collect,0.0
521,collect,scrape,-0.6074865547623165
522,collection,library,-0.5455747324473659
523,collection,packet,-0.8648761375307459
524,color,quality,-0.6002949712032989
525,color,wash,-0.6199228976929712
526,colorful,outfit,-0.6561113373809507
527,colorful,shot,-0.8164175747594714
528,colorful,toy,-0.6459087064115949
529,colorful,wood,-0.7030864093289252
530,colors,emblem,-0.7012465028083054
531,colour,grey,-0.3872781771856342
532,colour,shade,-0.4226933249889254
533,comfort,relief,-0.6565687233957018
534,comment,mention,-0.5436446340427143
535,commercial,manufacture,-0.5819652640940634
536,commitment,guarantee,-0.4694777281447491
537,communication,theater,-0.8103944653438224
538,compact,short,-0.727500421069355
539,company,distributor,-0.4489759489831251
540,compartment,stalls,-0.7941637724547164
541,compatible,software,-0.5639421213494058
542,competes,race,-0.6934311481812433
543,compound,enhance,-0.7351882604365457
544,compound,whole,-0.7852164942099571
545,computer,lab,-0.5140939777060014
546,computer,number,-0.6653741487326328
547,computer,platform,-0.6574821971006917
548,computer,railway,-0.8684823637141296
549,concentration,focus,-0.6332662143403827
550,concert,jazz,-0.4575514734681497
551,concert,sing,-0.4757711414892065
552,concerts,settle,-0.8840021525335817
553,conclusion,judgment,-0.44211325488450504
554,conclusion,situation,-0.45641843922236847
555,concoct,request,-0.9658897903125033
556,concrete,interior,-0.5986724207161771
557,concrete,pin,-0.8342692496516101
558,cone,palm,-0.7086085636636568
559,congress,sex,-0.8144496291214226
560,connection,keyboard,-0.7200574204049779
561,consequences,position,-0.7503871840888018
562,consistency,phase,-0.7290989022728582
563,construction,downtown,-0.640889973636324
564,construction,interior,-0.49878220019229114
565,contact,print,-0.7633992913578568
566,control,driving,-0.6260533742600103
567,cooking,dessert,-0.4681931836126686
568,cooking,eat,-0.4982739224423496
569,cooking,food,-0.32827578016421866
570,cooking,frozen,-0.6295649189906125
571,cooking,salad,-0.4445118919511112
572,cool,cool,0.0
573,cool,jazz,-0.6927988229611177
574,cool,state,-0.8437824195978715
575,cop,dirty,-0.6118245144807649
576,cop,music,-0.8392814805414595
577,cop,ruin,-0.7385921889525119
578,cord,eclipse,-0.9493154500960476
579,corn,pepper,-0.4693187770778534
580,cost,price,-0.27680339282624966
581,costume,halloween,-0.32626013129371634
582,costume,radiation,-0.9817914116088752
583,cottage,patio,-0.5364293868166561
584,council,minister,-0.5235787984710463
585,count,investigation,-0.8064011732394103
586,count,number,-0.4726149387579456
587,counter,furniture,-0.6976733358799658
588,counter,negative,-0.6467947513830645
589,couple,family,-0.541030898012753
590,couple,makeup,-0.7670793401922078
591,couple,race,-0.7145487616125932
592,cousin,relation,-0.8446069091788098
593,cover,feather,-0.7543660670563002
594,cover,sleeve,-0.5748403300532312
595,covering,skin,-0.6853918452016347
596,cowboys,ranch,-0.5593493860987353
597,crack,cracking,-0.4427452506331043
598,cracking,noise,-0.6437702675434533
599,cracking,sound,-0.6849948885801229
600,craft,game,-0.7843764120994152
601,crane,stair,-0.6857850401427061
602,crash,swing,-0.750908982620939
603,creation,stitch,-0.8318550370665965
604,credit,flap,-0.8776627072197729
605,credit,foundation,-0.7915948040617874
606,crew,unit,-0.7382696351444444
607,critic,reviewers,-0.5450066176223576
608,crochet,family,-0.8794645923166495
609,crochet,jewelry,-0.5972706047940438
610,crochet,knitting,-0.18792465345704712
611,cross,mug,-0.7917737222837516
612,cross,post,-0.7600641772402604
613,cross,pub,-0.8110512089611622
614,cross,shopping,-0.7533464420898883
615,crush,push,-0.5873482861111772
616,crush,split,-0.6382018170959143
617,crystal,spiral,-0.6627290864858979
618,cube,dice,-0.5918169714213183
619,cup,handbag,-0.8149862322440222
620,curb,smother,-0.7861277483166752
621,curb,train,-0.7644853486533487
622,current,flow,-0.6309534686116565
623,cut,gore,-0.8062891888131196
624,cute,fashion,-0.5931782582216244
625,cute,friend,-0.568017614649212
626,cute,fun,-0.38411915259100393
627,cute,haircut,-0.6116857350694478
628,cylinder,pen,-0.7469489366900919
629,daisy,foliage,-0.6648453842038141
630,daisy,grass,-0.6821121366643959
631,daisy,petal,-0.4292116295256675
632,dance,hotel,-0.8145213654155801
633,dandelion,foliage,-0.5791852971742986
634,dandelion,grass,-0.5504431990691427
635,dandelion,petal,-0.5295507284772574
636,danger,status,-0.6971218825031118
637,dark,flamingo,-0.9095149827007762
638,dark,pod,-0.7706721670465881
639,dark,white,-0.37443006069498364
640,dashboard,protection,-0.8020782853247376
641,daughter,graphic,-0.8763054453080884
642,daughter,pub,-0.8527800365249893
643,dawn,day,-0.5062196166857853
644,day,glide,-0.8688852253650003
645,day,horse,-0.6712629152303156
646,day,independence,-0.7334508504856818
647,day,night,-0.2956890274157282
648,day,sunny,-0.5668219074786331
649,day,sunset,-0.5416702042080597
650,day,weather,-0.5488284447619873
651,dead,sidewalk,-0.7097395336077006
652,deaf,people,-0.5743313360490534
653,death,funeral,-0.4247851538241896
654,decision,option,-0.6059691005473209
655,decoration,tulip,-0.678112873425224
656,defeat,ending,-0.6164809627494265
657,defeated,people,-0.8544671626946341
658,degree,quantity,-0.7134904312903821
659,demand,supply,-0.4064163699996173
660,demolition,interior,-0.7968114590658207
661,demolition,skyscraper,-0.6120673876956717
662,demolition,tall,-0.9075394664465355
663,desert,mountain,-0.394370269937547
664,deserve,merit,-0.46621702944279375
665,deserve,want,-0.4371728590344014
666,design,graphic,-0.4041314274088056
667,design,orange,-0.7767713055359423
668,designation,recognition,-0.5215107395215219
669,designs,intend,-0.7711694507930403
670,dessert,head,-0.8535514290066424
671,dessert,salad,-0.30459856950176223
672,determination,selection,-0.7316414882173516
673,development,twist,-0.9279508694767082
674,diamond,parade,-0.8694581384554348
675,diamond,short,-0.8420678248877279
676,diamond,stencil,-0.7763709929843974
677,difficulty,problem,-0.43696716131972413
678,digit,toe,-0.7671743404164598
679,dilute,market,-0.8316719812479421
680,dinner,sitting,-0.5572169637772573
681,dinner,sleep,-0.645012725759854
682,direction,direction,0.0
683,direction,traveling,-0.6076629753508394
684,dirt,racing,-0.5500992503024968
685,dirt,road,-0.48077669323396344
686,dirt,sand,-0.38507518606816626
687,dirty,dude,-0.5340397653374546
688,dirty,rabbit,-0.7191555250501829
689,dirty,washing,-0.543311560126777
690,discharge,spread,-0.836134093479076
691,discipline,discipline,0.0
692,disk,dot,-0.8446900729764752
693,display,stick,-0.7605432402789237
694,dissipate,isolate,-0.6674717952953328
695,distinction,sword,-0.8009969120091378
696,distinguish,medal,-0.9047726002760751
697,distinguish,sex,-0.8495252069782957
698,disturbance,upset,-0.6742948378119886
699,diversion,skiing,-0.8723172170025044
700,dock,herb,-0.8368675693151304
701,dog,husky,-0.4757663720248003
702,dog,secretary,-0.8869885977930193
703,doll,new,-0.7840992988492754
704,dome,interior,-0.5691706381658677
705,dome,uniform,-0.8330446659849612
706,donut,panda,-0.7598545648575137
707,door,interior,-0.5086115740774304
708,door,porch,-0.44714467858739915
709,door,room,-0.4447095501309922
710,downtown,field,-0.8395070228681795
711,downtown,hockey,-0.7900842604806876
712,downtown,ruin,-0.7859136297283963
713,downtown,shopping,-0.4903648740620462
714,downtown,subway,-0.4948925400372274
715,drag,drawing,-0.690143737662561
716,dragon,drop,-0.7416150386338769
717,dragonfly,frog,-0.4130858394504182
718,dragonfly,insect,-0.47844097426390597
719,draw,draw,0.0
720,draw,entertainer,-0.9103378158975426
721,dress,match,-0.7123369145030509
722,dress,neckline,-0.43759134540736266
723,dress,outfit,-0.3232132000174238
724,dressing,patch,-0.8262420894795721
725,drill,implement,-0.7794136050676403
726,drink,turn,-0.6754607005190562
727,dripping,hot,-0.5063552457377622
728,dripping,round,-0.723853834829042
729,dripping,wet,-0.3649750616866061
730,drive,drive,0.0
731,drive,operate,-0.5856367106501501
732,drop,drop,0.0
733,drop,measure,-0.6091864891700456
734,drop,sink,-0.6158569423622093
735,dropping,dropping,0.0
736,drought,time,-0.7528747562525181
737,drug,reflection,-0.8701210334463625
738,drug,sing,-0.9439589347853925
739,drug,wolf,-0.8678519886846101
740,dude,fun,-0.5781001510268492
741,dude,hanging,-0.6345365059296308
742,dude,sitting,-0.6274793201519786
743,dude,smile,-0.6138689193047269
744,dusk,hummingbird,-0.6883340173711161
745,dusk,misty,-0.4390789668545838
746,dye,kiss,-0.841310370279239
747,eagle,feather,-0.5456351676064416
748,ear,organ,-0.6384942816779599
749,earn,make,-0.5469621157583464
750,ease,relaxation,-0.5438618204783215
751,ease,rest,-0.5393068851693397
752,east,israel,-0.6992521997959886
753,easter,preference,-0.9504866634811228
754,eat,rabbit,-0.6327835578750245
755,eat,soup,-0.4381619191109498
756,eat,truck,-0.7680092742128869
